Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker
2016-09-13,14.760000228881836,14.760000228881836,14.760000228881836,14.760000228881836,14.289134979248047,300,Technology,BOTZ
2016-09-14,14.760000228881836,14.760000228881836,14.760000228881836,14.760000228881836,14.289134979248047,0,Technology,BOTZ
2016-09-15,14.760000228881836,14.760000228881836,14.760000228881836,14.760000228881836,14.289134979248047,0,Technology,BOTZ
2016-09-16,14.720000267028809,14.720000267028809,14.699999809265137,14.699999809265137,14.231046676635742,1500,Technology,BOTZ
2016-09-19,14.819999694824219,14.850000381469727,14.815999984741211,14.84000015258789,14.366581916809082,700,Technology,BOTZ
2016-09-20,14.970000267028809,14.970000267028809,14.970000267028809,14.970000267028809,14.49243450164795,300,Technology,BOTZ
2016-09-21,14.970000267028809,14.970000267028809,14.970000267028809,14.970000267028809,14.49243450164795,0,Technology,BOTZ
2016-09-22,15.380000114440918,15.390000343322754,15.289999961853027,15.319999694824219,14.831268310546875,4000,Technology,BOTZ
2016-09-23,15.329999923706055,15.329999923706055,15.239999771118164,15.270000457763672,14.78286361694336,9500,Technology,BOTZ
2016-09-26,15.149999618530273,15.149999618530273,15.031000137329102,15.031000137329102,14.551487922668457,2900,Technology,BOTZ
2016-09-27,15.170000076293945,16.68000030517578,15.116999626159668,15.210000038146973,14.724777221679688,3600,Technology,BOTZ
2016-09-28,15.289999961853027,15.3100004196167,15.210000038146973,15.3100004196167,14.821588516235352,3000,Technology,BOTZ
2016-09-29,15.3100004196167,15.3100004196167,15.25,15.260000228881836,14.773183822631836,3900,Technology,BOTZ
2016-09-30,15.279999732971191,15.3100004196167,15.199999809265137,15.3100004196167,14.821588516235352,4100,Technology,BOTZ
2016-10-03,15.359999656677246,15.359999656677246,15.1899995803833,15.256999969482422,14.77027702331543,3600,Technology,BOTZ
2016-10-04,15.390000343322754,15.390000343322754,15.25,15.25,14.763503074645996,10900,Technology,BOTZ
2016-10-05,15.380000114440918,15.40999984741211,15.380000114440918,15.390000343322754,14.899036407470703,1500,Technology,BOTZ
2016-10-06,15.399999618530273,15.399999618530273,15.305000305175781,15.34000015258789,14.850631713867188,3800,Technology,BOTZ
2016-10-07,15.350000381469727,15.359999656677246,15.300000190734863,15.350000381469727,14.860311508178711,8800,Technology,BOTZ
2016-10-10,15.4399995803833,15.449999809265137,15.416000366210938,15.42199993133545,14.930015563964844,11000,Technology,BOTZ
2016-10-11,15.460000038146973,15.460000038146973,15.300000190734863,15.300000190734863,14.811905860900879,6200,Technology,BOTZ
2016-10-12,15.3100004196167,15.3100004196167,15.187999725341797,15.239999771118164,14.753820419311523,5500,Technology,BOTZ
2016-10-13,15.079999923706055,15.119999885559082,15.0,15.119999885559082,14.637649536132812,6400,Technology,BOTZ
2016-10-14,15.170000076293945,15.180000305175781,15.119999885559082,15.119999885559082,14.637649536132812,3200,Technology,BOTZ
2016-10-17,15.180000305175781,15.210000038146973,15.149999618530273,15.170000076293945,14.686054229736328,10700,Technology,BOTZ
2016-10-18,15.369999885559082,15.369999885559082,15.281000137329102,15.289999961853027,14.802226066589355,3500,Technology,BOTZ
2016-10-19,15.359999656677246,15.359999656677246,15.25,15.260000228881836,14.773183822631836,6300,Technology,BOTZ
2016-10-20,15.260000228881836,15.300000190734863,15.25,15.300000190734863,14.811905860900879,8900,Technology,BOTZ
2016-10-21,15.282999992370605,15.300000190734863,15.282999992370605,15.300000190734863,14.811905860900879,500,Technology,BOTZ
2016-10-24,15.4399995803833,15.4399995803833,15.279999732971191,15.300000190734863,14.811905860900879,12500,Technology,BOTZ
2016-10-25,15.25,15.25,15.149999618530273,15.170000076293945,14.686054229736328,15100,Technology,BOTZ
2016-10-26,15.156999588012695,15.180000305175781,15.130000114440918,15.170000076293945,14.686054229736328,4100,Technology,BOTZ
2016-10-27,15.100000381469727,15.100000381469727,15.0,15.0,14.521476745605469,22100,Technology,BOTZ
2016-10-28,15.0600004196167,15.09000015258789,15.020000457763672,15.0600004196167,14.57956314086914,3600,Technology,BOTZ
2016-10-31,15.100000381469727,15.100000381469727,15.020000457763672,15.020000457763672,14.540839195251465,2600,Technology,BOTZ
2016-11-01,15.039999961853027,15.039999961853027,14.949999809265137,14.949999809265137,14.473071098327637,5700,Technology,BOTZ
2016-11-02,14.90999984741211,14.90999984741211,14.8100004196167,14.8100004196167,14.337538719177246,10200,Technology,BOTZ
2016-11-03,14.989999771118164,14.989999771118164,14.831000328063965,14.869999885559082,14.395624160766602,3200,Technology,BOTZ
2016-11-04,14.890000343322754,14.890000343322754,14.739999771118164,14.819999694824219,14.347219467163086,7200,Technology,BOTZ
2016-11-07,15.069999694824219,15.069999694824219,14.975000381469727,14.979999542236328,14.502116203308105,5800,Technology,BOTZ
2016-11-08,14.989999771118164,15.0600004196167,14.970000267028809,15.050000190734863,14.569881439208984,3200,Technology,BOTZ
2016-11-09,14.800000190734863,15.079999923706055,14.800000190734863,15.0600004196167,14.57956314086914,14800,Technology,BOTZ
2016-11-10,15.199999809265137,15.25,15.079999923706055,15.1899995803833,14.705416679382324,2300,Technology,BOTZ
2016-11-11,15.170000076293945,15.1899995803833,15.14900016784668,15.170000076293945,14.686054229736328,4900,Technology,BOTZ
2016-11-14,15.15999984741211,15.229999542236328,15.149999618530273,15.229999542236328,14.744140625,5500,Technology,BOTZ
2016-11-15,15.180000305175781,15.270000457763672,15.180000305175781,15.270000457763672,14.78286361694336,3100,Technology,BOTZ
2016-11-16,15.166000366210938,15.166000366210938,15.086000442504883,15.093999862670898,14.61247730255127,2000,Technology,BOTZ
2016-11-17,15.260000228881836,15.350000381469727,15.196999549865723,15.350000381469727,14.860311508178711,4500,Technology,BOTZ
2016-11-18,15.260000228881836,15.260000228881836,15.12399959564209,15.130000114440918,14.647329330444336,7300,Technology,BOTZ
2016-11-21,15.187000274658203,15.220000267028809,15.130000114440918,15.1850004196167,14.700575828552246,13400,Technology,BOTZ
2016-11-22,15.220000267028809,15.220000267028809,15.13599967956543,15.159000396728516,14.675405502319336,2500,Technology,BOTZ
2016-11-23,15.15999984741211,15.1899995803833,15.050999641418457,15.1899995803833,14.705416679382324,11100,Technology,BOTZ
2016-11-25,15.199999809265137,15.210000038146973,15.149999618530273,15.199999809265137,14.715095520019531,5900,Technology,BOTZ
2016-11-28,15.260000228881836,15.260000228881836,15.149999618530273,15.1899995803833,14.705416679382324,13600,Technology,BOTZ
2016-11-29,15.149999618530273,15.223999977111816,15.140000343322754,15.199999809265137,14.715095520019531,9500,Technology,BOTZ
2016-11-30,15.149999618530273,15.199999809265137,15.045000076293945,15.079999923706055,14.598926544189453,10200,Technology,BOTZ
2016-12-01,15.109999656677246,15.109999656677246,14.897000312805176,14.899999618530273,14.424666404724121,8300,Technology,BOTZ
2016-12-02,14.819999694824219,14.829999923706055,14.6899995803833,14.829999923706055,14.356901168823242,8500,Technology,BOTZ
2016-12-05,14.9399995803833,15.029999732971191,14.9399995803833,14.996999740600586,14.518572807312012,8800,Technology,BOTZ
2016-12-06,14.979999542236328,14.989999771118164,14.88599967956543,14.961000442504883,14.483720779418945,5900,Technology,BOTZ
2016-12-07,15.010000228881836,15.170000076293945,14.951000213623047,15.130000114440918,14.647329330444336,8900,Technology,BOTZ
2016-12-08,15.239999771118164,15.239999771118164,15.128000259399414,15.220000267028809,14.734458923339844,9100,Technology,BOTZ
2016-12-09,15.239999771118164,15.239999771118164,15.130000114440918,15.199999809265137,14.715095520019531,9900,Technology,BOTZ
2016-12-12,15.1899995803833,15.1899995803833,15.029999732971191,15.039999961853027,14.560200691223145,17300,Technology,BOTZ
2016-12-13,15.15999984741211,15.178999900817871,15.12600040435791,15.149999618530273,14.666691780090332,10900,Technology,BOTZ
2016-12-14,15.140000343322754,15.140000343322754,14.899999618530273,14.899999618530273,14.424666404724121,15200,Technology,BOTZ
2016-12-15,14.899999618530273,14.930000305175781,14.890000343322754,14.930000305175781,14.45371150970459,5000,Technology,BOTZ
2016-12-16,14.9399995803833,14.9399995803833,14.836999893188477,14.850000381469727,14.376261711120605,11900,Technology,BOTZ
2016-12-19,14.850000381469727,14.970000267028809,14.850000381469727,14.949999809265137,14.473071098327637,6300,Technology,BOTZ
2016-12-20,15.010000228881836,15.010000228881836,14.9399995803833,14.970000267028809,14.49243450164795,11100,Technology,BOTZ
2016-12-21,15.0,15.0,14.90999984741211,14.949999809265137,14.473071098327637,10400,Technology,BOTZ
2016-12-22,14.970000267028809,14.970000267028809,14.899999618530273,14.91100025177002,14.435315132141113,3700,Technology,BOTZ
2016-12-23,15.069999694824219,15.08899974822998,14.899999618530273,14.947999954223633,14.471136093139648,7600,Technology,BOTZ
