Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2016-01-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-30,,,,,,,Technology,BOTZ,,,,,0,,,
2016-01-31,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-02-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-30,,,,,,,Technology,BOTZ,,,,,0,,,
2016-03-31,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-04-30,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-30,,,,,,,Technology,BOTZ,,,,,0,,,
2016-05-31,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-07,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-08,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-09,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-10,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-11,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-12,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-13,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-14,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-15,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-16,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-17,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-18,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-19,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-20,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-21,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-22,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-23,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-24,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-25,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-26,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-27,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-28,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-29,,,,,,,Technology,BOTZ,,,,,0,,,
2016-06-30,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-01,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-02,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-03,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-04,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-05,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-06,,,,,,,Technology,BOTZ,,,,,0,,,
2016-07-07,,,,,,,Technology,BOTZ,,,,,0,,,
