"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-01",100.6147,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-02",100.7798,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-03",100.7284,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-04",100.5724,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-05",100.5696,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-06",100.7466,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-07",100.9234,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-08",101.1814,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-09",101.3533,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-10",101.3211,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-11",101.2887,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-12",101.3476,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3975,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-02",101.4215,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-03",101.3024,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1772,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-05",101.2221,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-06",101.3333,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-07",101.3931,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-08",101.4927,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-09",101.4048,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-10",101.1965,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-11",100.9832,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-12",100.6693,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-01",100.5184,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-02",100.3539,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-03",100.2223,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-04",100.0013,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-05",99.79832,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-06",99.61539,
