"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-01",99.76691,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-02",99.8513,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-03",99.89215,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-04",99.90583,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-05",99.91312,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-06",99.92896,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-07",99.96027,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.0326,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.1365,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.2598,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.3849,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.5088,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.6312,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.7432,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.8162,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.8419,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.8297,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.7866,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.7148,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.6171,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.4782,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.2925,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.0761,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.85235,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.64408,
