"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BOP","TOT","PC_GDP","Q","2017-Q1",-1.773084,
"USA","BOP","TOT","PC_GDP","Q","2017-Q2",-2.138832,
"USA","BOP","TOT","PC_GDP","Q","2017-Q3",-1.742096,
"USA","BOP","TOT","PC_GDP","Q","2017-Q4",-1.845498,
"USA","BOP","TOT","PC_GDP","Q","2018-Q1",-1.90713,
"USA","BOP","TOT","PC_GDP","Q","2018-Q2",-1.829929,
"USA","BOP","TOT","PC_GDP","Q","2018-Q3",-2.297236,
"USA","BOP","TOT","PC_GDP","Q","2018-Q4",-2.472967,
"USA","BOP","TOT","PC_GDP","Q","2019-Q1",-2.188747,
"USA","BOP","TOT","PC_GDP","Q","2019-Q2",-2.178821,
"USA","BOP","TOT","PC_GDP","Q","2019-Q3",-2.024294,
"USA","BOP","TOT","PC_GDP","Q","2019-Q4",-1.826248,
"USA","BOP","TOT","PC_GDP","Q","2020-Q1",-1.851002,
"USA","BOP","TOT","PC_GDP","Q","2020-Q2",-2.997558,
"USA","BOP","TOT","PC_GDP","Q","2020-Q3",-3.090628,
"USA","BOP","TOT","PC_GDP","Q","2020-Q4",-3.272773,
"USA","BOP","TOT","PC_GDP","Q","2021-Q1",-3.107054,
"USA","BOP","TOT","PC_GDP","Q","2021-Q2",-3.438363,
"USA","BOP","TOT","PC_GDP","Q","2021-Q3",-3.805871,
"USA","BOP","TOT","PC_GDP","Q","2021-Q4",-3.714535,
"USA","BOP","TOT","PC_GDP","Q","2022-Q1",-4.5371,
"USA","BOP","TOT","PC_GDP","Q","2022-Q2",-3.89573,
"USA","BOP","TOT","PC_GDP","Q","2022-Q3",-3.427737,
"USA","BOP","TOT","PC_GDP","Q","2022-Q4",-3.274018,
"USA","BOP","TOT","PC_GDP","Q","2023-Q1",-3.199451,
"USA","BOP","TOT","PC_GDP","Q","2023-Q2",-3.134965,
