"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LTINT","TOT","PC_PA","M","2017-01",2.43,
"USA","LTINT","TOT","PC_PA","M","2017-02",2.42,
"USA","LTINT","TOT","PC_PA","M","2017-03",2.48,
"USA","LTINT","TOT","PC_PA","M","2017-04",2.3,
"USA","LTINT","TOT","PC_PA","M","2017-05",2.3,
"USA","LTINT","TOT","PC_PA","M","2017-06",2.19,
"USA","LTINT","TOT","PC_PA","M","2017-07",2.32,
"USA","LTINT","TOT","PC_PA","M","2017-08",2.21,
"USA","LTINT","TOT","PC_PA","M","2017-09",2.2,
"USA","LTINT","TOT","PC_PA","M","2017-10",2.36,
"USA","LTINT","TOT","PC_PA","M","2017-11",2.35,
"USA","LTINT","TOT","PC_PA","M","2017-12",2.4,
"USA","LTINT","TOT","PC_PA","M","2018-01",2.58,
"USA","LTINT","TOT","PC_PA","M","2018-02",2.86,
"USA","LTINT","TOT","PC_PA","M","2018-03",2.84,
"USA","LTINT","TOT","PC_PA","M","2018-04",2.87,
"USA","LTINT","TOT","PC_PA","M","2018-05",2.98,
"USA","LTINT","TOT","PC_PA","M","2018-06",2.91,
"USA","LTINT","TOT","PC_PA","M","2018-07",2.89,
"USA","LTINT","TOT","PC_PA","M","2018-08",2.89,
"USA","LTINT","TOT","PC_PA","M","2018-09",3,
"USA","LTINT","TOT","PC_PA","M","2018-10",3.15,
"USA","LTINT","TOT","PC_PA","M","2018-11",3.12,
"USA","LTINT","TOT","PC_PA","M","2018-12",2.83,
"USA","LTINT","TOT","PC_PA","M","2019-01",2.71,
"USA","LTINT","TOT","PC_PA","M","2019-02",2.68,
"USA","LTINT","TOT","PC_PA","M","2019-03",2.57,
"USA","LTINT","TOT","PC_PA","M","2019-04",2.53,
"USA","LTINT","TOT","PC_PA","M","2019-05",2.4,
"USA","LTINT","TOT","PC_PA","M","2019-06",2.07,
"USA","LTINT","TOT","PC_PA","M","2019-07",2.06,
"USA","LTINT","TOT","PC_PA","M","2019-08",1.63,
"USA","LTINT","TOT","PC_PA","M","2019-09",1.7,
"USA","LTINT","TOT","PC_PA","M","2019-10",1.71,
"USA","LTINT","TOT","PC_PA","M","2019-11",1.81,
"USA","LTINT","TOT","PC_PA","M","2019-12",1.86,
"USA","LTINT","TOT","PC_PA","M","2020-01",1.76,
"USA","LTINT","TOT","PC_PA","M","2020-02",1.5,
"USA","LTINT","TOT","PC_PA","M","2020-03",0.87,
"USA","LTINT","TOT","PC_PA","M","2020-04",0.66,
"USA","LTINT","TOT","PC_PA","M","2020-05",0.67,
"USA","LTINT","TOT","PC_PA","M","2020-06",0.73,
"USA","LTINT","TOT","PC_PA","M","2020-07",0.62,
"USA","LTINT","TOT","PC_PA","M","2020-08",0.65,
"USA","LTINT","TOT","PC_PA","M","2020-09",0.68,
"USA","LTINT","TOT","PC_PA","M","2020-10",0.79,
"USA","LTINT","TOT","PC_PA","M","2020-11",0.87,
"USA","LTINT","TOT","PC_PA","M","2020-12",0.93,
"USA","LTINT","TOT","PC_PA","M","2021-01",1.08,
"USA","LTINT","TOT","PC_PA","M","2021-02",1.26,
"USA","LTINT","TOT","PC_PA","M","2021-03",1.61,
"USA","LTINT","TOT","PC_PA","M","2021-04",1.64,
"USA","LTINT","TOT","PC_PA","M","2021-05",1.62,
"USA","LTINT","TOT","PC_PA","M","2021-06",1.52,
"USA","LTINT","TOT","PC_PA","M","2021-07",1.32,
"USA","LTINT","TOT","PC_PA","M","2021-08",1.28,
"USA","LTINT","TOT","PC_PA","M","2021-09",1.37,
"USA","LTINT","TOT","PC_PA","M","2021-10",1.58,
"USA","LTINT","TOT","PC_PA","M","2021-11",1.56,
"USA","LTINT","TOT","PC_PA","M","2021-12",1.47,
"USA","LTINT","TOT","PC_PA","M","2022-01",1.76,
"USA","LTINT","TOT","PC_PA","M","2022-02",1.93,
"USA","LTINT","TOT","PC_PA","M","2022-03",2.13,
"USA","LTINT","TOT","PC_PA","M","2022-04",2.75,
"USA","LTINT","TOT","PC_PA","M","2022-05",2.9,
"USA","LTINT","TOT","PC_PA","M","2022-06",3.14,
"USA","LTINT","TOT","PC_PA","M","2022-07",2.9,
"USA","LTINT","TOT","PC_PA","M","2022-08",2.9,
"USA","LTINT","TOT","PC_PA","M","2022-09",3.52,
"USA","LTINT","TOT","PC_PA","M","2022-10",3.98,
"USA","LTINT","TOT","PC_PA","M","2022-11",3.89,
"USA","LTINT","TOT","PC_PA","M","2022-12",3.62,
"USA","LTINT","TOT","PC_PA","M","2023-01",3.53,
"USA","LTINT","TOT","PC_PA","M","2023-02",3.75,
"USA","LTINT","TOT","PC_PA","M","2023-03",3.66,
"USA","LTINT","TOT","PC_PA","M","2023-04",3.46,
"USA","LTINT","TOT","PC_PA","M","2023-05",3.57,
"USA","LTINT","TOT","PC_PA","M","2023-06",3.75,
"USA","LTINT","TOT","PC_PA","M","2023-07",3.9,
"USA","LTINT","TOT","PC_PA","M","2023-08",4.17,
"USA","LTINT","TOT","PC_PA","M","2023-09",4.38,
