"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","STINT","TOT","PC_PA","M","2017-01",0.9,
"USA","STINT","TOT","PC_PA","M","2017-02",0.87,
"USA","STINT","TOT","PC_PA","M","2017-03",0.98,
"USA","STINT","TOT","PC_PA","M","2017-04",1.03,
"USA","STINT","TOT","PC_PA","M","2017-05",1.05,
"USA","STINT","TOT","PC_PA","M","2017-06",1.16,
"USA","STINT","TOT","PC_PA","M","2017-07",1.22,
"USA","STINT","TOT","PC_PA","M","2017-08",1.25,
"USA","STINT","TOT","PC_PA","M","2017-09",1.25,
"USA","STINT","TOT","PC_PA","M","2017-10",1.26,
"USA","STINT","TOT","PC_PA","M","2017-11",1.32,
"USA","STINT","TOT","PC_PA","M","2017-12",1.54,
"USA","STINT","TOT","PC_PA","M","2018-01",1.63,
"USA","STINT","TOT","PC_PA","M","2018-02",1.78,
"USA","STINT","TOT","PC_PA","M","2018-03",2.08,
"USA","STINT","TOT","PC_PA","M","2018-04",2.2,
"USA","STINT","TOT","PC_PA","M","2018-05",2.16,
"USA","STINT","TOT","PC_PA","M","2018-06",2.19,
"USA","STINT","TOT","PC_PA","M","2018-07",2.17,
"USA","STINT","TOT","PC_PA","M","2018-08",2.19,
"USA","STINT","TOT","PC_PA","M","2018-09",2.24,
"USA","STINT","TOT","PC_PA","M","2018-10",2.37,
"USA","STINT","TOT","PC_PA","M","2018-11",2.56,
"USA","STINT","TOT","PC_PA","M","2018-12",2.69,
"USA","STINT","TOT","PC_PA","M","2019-01",2.59,
"USA","STINT","TOT","PC_PA","M","2019-02",2.49,
"USA","STINT","TOT","PC_PA","M","2019-03",2.48,
"USA","STINT","TOT","PC_PA","M","2019-04",2.47,
"USA","STINT","TOT","PC_PA","M","2019-05",2.44,
"USA","STINT","TOT","PC_PA","M","2019-06",2.3,
"USA","STINT","TOT","PC_PA","M","2019-07",2.22,
"USA","STINT","TOT","PC_PA","M","2019-08",2.06,
"USA","STINT","TOT","PC_PA","M","2019-09",2.03,
"USA","STINT","TOT","PC_PA","M","2019-10",1.88,
"USA","STINT","TOT","PC_PA","M","2019-11",1.77,
"USA","STINT","TOT","PC_PA","M","2019-12",1.76,
"USA","STINT","TOT","PC_PA","M","2020-01",1.65,
"USA","STINT","TOT","PC_PA","M","2020-02",1.59,
"USA","STINT","TOT","PC_PA","M","2020-03",1.35,
"USA","STINT","TOT","PC_PA","M","2020-05",0.17,
"USA","STINT","TOT","PC_PA","M","2020-06",0.2,
"USA","STINT","TOT","PC_PA","M","2020-07",0.18,
"USA","STINT","TOT","PC_PA","M","2020-08",0.15,
"USA","STINT","TOT","PC_PA","M","2020-09",0.13,
"USA","STINT","TOT","PC_PA","M","2020-10",0.12,
"USA","STINT","TOT","PC_PA","M","2020-11",0.16,
"USA","STINT","TOT","PC_PA","M","2020-12",0.17,
"USA","STINT","TOT","PC_PA","M","2021-01",0.14,
"USA","STINT","TOT","PC_PA","M","2021-02",0.11,
"USA","STINT","TOT","PC_PA","M","2021-03",0.1,
"USA","STINT","TOT","PC_PA","M","2021-04",0.11,
"USA","STINT","TOT","PC_PA","M","2021-05",0.1,
"USA","STINT","TOT","PC_PA","M","2021-06",0.09,
"USA","STINT","TOT","PC_PA","M","2021-07",0.1,
"USA","STINT","TOT","PC_PA","M","2021-08",0.1,
"USA","STINT","TOT","PC_PA","M","2021-09",0.1,
"USA","STINT","TOT","PC_PA","M","2021-10",0.11,
"USA","STINT","TOT","PC_PA","M","2021-11",0.14,
"USA","STINT","TOT","PC_PA","M","2021-12",0.17,
"USA","STINT","TOT","PC_PA","M","2022-01",0.22,
"USA","STINT","TOT","PC_PA","M","2022-02",0.38,
"USA","STINT","TOT","PC_PA","M","2022-03",0.73,
"USA","STINT","TOT","PC_PA","M","2022-04",0.91,
"USA","STINT","TOT","PC_PA","M","2022-05",1.33,
"USA","STINT","TOT","PC_PA","M","2022-06",1.87,
"USA","STINT","TOT","PC_PA","M","2022-07",2.5,
"USA","STINT","TOT","PC_PA","M","2022-08",2.76,
"USA","STINT","TOT","PC_PA","M","2022-09",3.21,
"USA","STINT","TOT","PC_PA","M","2022-10",3.85,
"USA","STINT","TOT","PC_PA","M","2022-11",4.46,
"USA","STINT","TOT","PC_PA","M","2022-12",4.51,
"USA","STINT","TOT","PC_PA","M","2023-01",4.61,
"USA","STINT","TOT","PC_PA","M","2023-02",4.74,
"USA","STINT","TOT","PC_PA","M","2023-03",4.91,
"USA","STINT","TOT","PC_PA","M","2023-04",5.03,
"USA","STINT","TOT","PC_PA","M","2023-05",5.15,
"USA","STINT","TOT","PC_PA","M","2023-06",5.22,
"USA","STINT","TOT","PC_PA","M","2023-07",5.35,
"USA","STINT","TOT","PC_PA","M","2023-08",5.44,
"USA","STINT","TOT","PC_PA","M","2023-09",5.49,
