"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-01",0.9568197,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-02",0,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-03",-0.2375297,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-04",-0.4255656,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-05",0.3948142,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-06",1.160003,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-07",-0.1423599,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-08",0.2874756,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-09",1.377802,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-10",0.5323821,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-11",2.295283,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2017-12",2.676056,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-01",-2.321747,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-02",1.933219,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-03",2.444708,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-04",0.1516517,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-05",1.891348,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-06",-1.56112,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-07",-1.559529,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-08",-0.09548818,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-09",1.5662,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-10",0.7642513,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-11",-1.998019,
"USA","TRADEGOOD","EXP","PC_CHGPP","M","2018-12",-1.807011,
