"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HUR","TOT","PC_LF","M","2017-01",4.7,
"USA","HUR","TOT","PC_LF","M","2017-02",4.6,
"USA","HUR","TOT","PC_LF","M","2017-03",4.4,
"USA","HUR","TOT","PC_LF","M","2017-04",4.4,
"USA","HUR","TOT","PC_LF","M","2017-05",4.4,
"USA","HUR","TOT","PC_LF","M","2017-06",4.3,
"USA","HUR","TOT","PC_LF","M","2017-07",4.3,
"USA","HUR","TOT","PC_LF","M","2017-08",4.4,
"USA","HUR","TOT","PC_LF","M","2017-09",4.3,
"USA","HUR","TOT","PC_LF","M","2017-10",4.2,
"USA","HUR","TOT","PC_LF","M","2017-11",4.2,
"USA","HUR","TOT","PC_LF","M","2017-12",4.1,
"USA","HUR","TOT","PC_LF","M","2018-01",4,
"USA","HUR","TOT","PC_LF","M","2018-02",4.1,
"USA","HUR","TOT","PC_LF","M","2018-03",4,
"USA","HUR","TOT","PC_LF","M","2018-04",4,
"USA","HUR","TOT","PC_LF","M","2018-05",3.8,
"USA","HUR","TOT","PC_LF","M","2018-06",4,
"USA","HUR","TOT","PC_LF","M","2018-07",3.8,
"USA","HUR","TOT","PC_LF","M","2018-08",3.8,
"USA","HUR","TOT","PC_LF","M","2018-09",3.7,
"USA","HUR","TOT","PC_LF","M","2018-10",3.8,
"USA","HUR","TOT","PC_LF","M","2018-11",3.8,
"USA","HUR","TOT","PC_LF","M","2018-12",3.9,
"USA","HUR","TOT","PC_LF","M","2019-01",4,
"USA","HUR","TOT","PC_LF","M","2019-02",3.8,
"USA","HUR","TOT","PC_LF","M","2019-03",3.8,
"USA","HUR","TOT","PC_LF","M","2019-04",3.6,
"USA","HUR","TOT","PC_LF","M","2019-05",3.7,
"USA","HUR","TOT","PC_LF","M","2019-06",3.6,
"USA","HUR","TOT","PC_LF","M","2019-07",3.7,
"USA","HUR","TOT","PC_LF","M","2019-08",3.7,
"USA","HUR","TOT","PC_LF","M","2019-09",3.5,
"USA","HUR","TOT","PC_LF","M","2019-10",3.6,
"USA","HUR","TOT","PC_LF","M","2019-11",3.6,
"USA","HUR","TOT","PC_LF","M","2019-12",3.6,
"USA","HUR","TOT","PC_LF","M","2020-01",3.5,
"USA","HUR","TOT","PC_LF","M","2020-02",3.5,
"USA","HUR","TOT","PC_LF","M","2020-03",4.4,
"USA","HUR","TOT","PC_LF","M","2020-04",14.7,
"USA","HUR","TOT","PC_LF","M","2020-05",13.2,
"USA","HUR","TOT","PC_LF","M","2020-06",11,
"USA","HUR","TOT","PC_LF","M","2020-07",10.2,
"USA","HUR","TOT","PC_LF","M","2020-08",8.4,
"USA","HUR","TOT","PC_LF","M","2020-09",7.9,
"USA","HUR","TOT","PC_LF","M","2020-10",6.9,
"USA","HUR","TOT","PC_LF","M","2020-11",6.7,
"USA","HUR","TOT","PC_LF","M","2020-12",6.7,
"USA","HUR","TOT","PC_LF","M","2021-01",6.3,
"USA","HUR","TOT","PC_LF","M","2021-02",6.2,
"USA","HUR","TOT","PC_LF","M","2021-03",6.1,
"USA","HUR","TOT","PC_LF","M","2021-04",6.1,
"USA","HUR","TOT","PC_LF","M","2021-05",5.8,
"USA","HUR","TOT","PC_LF","M","2021-06",5.9,
"USA","HUR","TOT","PC_LF","M","2021-07",5.4,
"USA","HUR","TOT","PC_LF","M","2021-08",5.2,
"USA","HUR","TOT","PC_LF","M","2021-09",4.8,
"USA","HUR","TOT","PC_LF","M","2021-10",4.5,
"USA","HUR","TOT","PC_LF","M","2021-11",4.2,
"USA","HUR","TOT","PC_LF","M","2021-12",3.9,
"USA","HUR","TOT","PC_LF","M","2022-01",4,
"USA","HUR","TOT","PC_LF","M","2022-02",3.8,
"USA","HUR","TOT","PC_LF","M","2022-03",3.6,
"USA","HUR","TOT","PC_LF","M","2022-04",3.6,
"USA","HUR","TOT","PC_LF","M","2022-05",3.6,
"USA","HUR","TOT","PC_LF","M","2022-06",3.6,
"USA","HUR","TOT","PC_LF","M","2022-07",3.5,
"USA","HUR","TOT","PC_LF","M","2022-08",3.7,
"USA","HUR","TOT","PC_LF","M","2022-09",3.5,
"USA","HUR","TOT","PC_LF","M","2022-10",3.7,
"USA","HUR","TOT","PC_LF","M","2022-11",3.6,
"USA","HUR","TOT","PC_LF","M","2022-12",3.5,
"USA","HUR","TOT","PC_LF","M","2023-01",3.4,
"USA","HUR","TOT","PC_LF","M","2023-02",3.6,
"USA","HUR","TOT","PC_LF","M","2023-03",3.5,
"USA","HUR","TOT","PC_LF","M","2023-04",3.4,
"USA","HUR","TOT","PC_LF","M","2023-05",3.7,
"USA","HUR","TOT","PC_LF","M","2023-06",3.6,
"USA","HUR","TOT","PC_LF","M","2023-07",3.5,
"USA","HUR","TOT","PC_LF","M","2023-08",3.8,
"USA","HUR","TOT","PC_LF","M","2023-09",3.8,
