LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-01,101.4057,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-02,101.4298,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-03,101.31,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-04,101.1839,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-05,101.2291,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-06,101.341,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-07,101.4012,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-08,101.5014,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-09,101.413,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-10,101.2034,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-11,100.9886,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-12,100.6727,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-01,100.5208,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-02,100.3552,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-03,100.2228,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-04,100.0004,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-05,99.79606,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-06,99.61194,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-07,99.39149,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-08,99.11429,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-09,98.90439,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-10,98.83739,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-11,98.8593,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-12,98.96537,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-01,99.13353,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-02,99.01672,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-03,98.60321,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-04,98.15427,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-05,98.39381,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-06,99.25558,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-07,100.002,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-08,100.4892,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-09,100.7794,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-10,101.0562,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-11,101.2001,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-12,101.3851,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-01,101.5317,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-02,101.7936,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-03,102.0082,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-04,101.9045,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-05,101.7623,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-06,101.6199,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-07,101.5283,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-08,101.5595,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-09,101.6516,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-10,101.6672,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-11,101.5697,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-12,101.3412,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-01,101.1464,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-02,101.0242,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-03,100.8362,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-04,100.6128,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-05,100.4049,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-06,100.1274,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-07,99.92323,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-08,99.7469,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-09,99.52408,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-10,99.32774,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-11,99.17565,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-12,99.06994,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-01,98.99246,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-02,98.94336,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-03,98.90659,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-04,98.89899,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-05,98.88395,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-06,98.86854,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-07,98.89616,
USA,BCI,AMPLITUD,LTRENDIDX,M,2023-08,98.96121,
