LOCATION,INDICATOR,FREQUENCY,TIME,Value
USA,CLI,M,2018-01,100.6351
USA,CLI,M,2018-02,100.7478
USA,CLI,M,2018-03,100.8213
USA,CLI,M,2018-04,100.8471
USA,CLI,M,2018-05,100.8347
USA,CLI,M,2018-06,100.7913
USA,CLI,M,2018-07,100.7189
USA,CLI,M,2018-08,100.6204
USA,CLI,M,2018-09,100.4805
USA,CLI,M,2018-10,100.2935
USA,CLI,M,2018-11,100.0756
USA,CLI,M,2018-12,99.85027
USA,CLI,M,2019-01,99.64063
USA,CLI,M,2019-02,99.46525
USA,CLI,M,2019-03,99.32577
USA,CLI,M,2019-04,99.19956
USA,CLI,M,2019-05,99.08261
USA,CLI,M,2019-06,98.97521
USA,CLI,M,2019-07,98.88517
USA,CLI,M,2019-08,98.82481
USA,CLI,M,2019-09,98.82384
USA,CLI,M,2019-10,98.87929
USA,CLI,M,2019-11,98.96508
USA,CLI,M,2019-12,99.04773
USA,CLI,M,2020-01,99.0881
USA,CLI,M,2020-02,99.05559
USA,CLI,M,2020-03,97.65121
USA,CLI,M,2020-04,92.57691
USA,CLI,M,2020-05,94.28904
USA,CLI,M,2020-06,96.13219
USA,CLI,M,2020-07,97.70477
USA,CLI,M,2020-08,98.42593
USA,CLI,M,2020-09,98.71817
USA,CLI,M,2020-10,99.07759
USA,CLI,M,2020-11,99.47211
USA,CLI,M,2020-12,99.88824
USA,CLI,M,2021-01,100.2614
USA,CLI,M,2021-02,100.6365
USA,CLI,M,2021-03,100.9645
USA,CLI,M,2021-04,101.2367
USA,CLI,M,2021-05,101.3132
USA,CLI,M,2021-06,101.3187
USA,CLI,M,2021-07,101.2692
USA,CLI,M,2021-08,101.198
USA,CLI,M,2021-09,101.1375
USA,CLI,M,2021-10,101.0918
USA,CLI,M,2021-11,101.0517
USA,CLI,M,2021-12,100.9975
USA,CLI,M,2022-01,100.9097
USA,CLI,M,2022-02,100.7809
USA,CLI,M,2022-03,100.5965
USA,CLI,M,2022-04,100.3565
USA,CLI,M,2022-05,100.0662
USA,CLI,M,2022-06,99.76752
USA,CLI,M,2022-07,99.50929
USA,CLI,M,2022-08,99.30679
USA,CLI,M,2022-09,99.14497
USA,CLI,M,2022-10,99.01424
USA,CLI,M,2022-11,98.91595
USA,CLI,M,2022-12,98.8606
USA,CLI,M,2023-01,98.84035
USA,CLI,M,2023-02,98.8347
USA,CLI,M,2023-03,98.84562
USA,CLI,M,2023-04,98.89024
USA,CLI,M,2023-05,98.97022
USA,CLI,M,2023-06,99.0818
USA,CLI,M,2023-07,99.20307
USA,CLI,M,2023-08,99.32967
