"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.0703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-03",99.95908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-04",99.86038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-05",99.74973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-06",99.57523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-07",99.32126,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-08",98.99229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-09",98.60912,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-10",98.23318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-11",97.8951,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-12",97.62759,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",97.45841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",97.39162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",97.39133,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",97.41967,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",97.44987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",97.45605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",97.43615,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",97.39619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",97.37852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",97.4379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",97.61713,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",97.91682,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.32912,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.84554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",95.69971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",86.99841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",88.87775,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",94.65442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",99.05889,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.04202,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.58717,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-10",98.16058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-11",98.01087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-12",98.86555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-01",98.68662,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-02",99.52937,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.6184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-04",101.2654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-05",101.7398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-06",102.0956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-07",102.2932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-08",102.3433,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-09",102.2812,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-10",102.1372,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-11",101.8819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2021-12",101.4469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-01",100.7894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-02",99.94477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-03",99.03619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-04",98.2005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-05",97.50053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-06",96.9508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-07",96.55395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-08",96.30217,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-09",96.23382,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-10",96.40888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-11",96.78655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2022-12",97.28546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-01",97.84069,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-02",98.38721,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-03",98.84728,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-04",99.22129,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-05",99.50819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-06",99.72255,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-07",99.88969,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2023-08",100.0436,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-02",99.56914,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-03",99.39696,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-04",99.25921,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-05",99.13468,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-06",99.00292,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-07",98.86299,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-08",98.71993,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-09",98.58775,
