DATE,OPEN,HIGH,LOW,CLOSE
01-02-2018,10.95,11.07,9.52,9.77
01-03-2018,9.56,9.65,8.94,9.15
01-04-2018,9.01,9.31,8.92,9.22
01-05-2018,9.1,9.54,9,9.22
01-08-2018,9.61,9.89,9.32,9.52
01-09-2018,9.41,10.09,9.37,10.08
01-10-2018,10.11,10.85,9.82,9.82
01-11-2018,9.69,10.02,9.62,9.88
01-12-2018,9.74,10.31,9.54,10.16
01/16/2018,10.42,12.41,10.4,11.66
01/17/2018,11.35,12.8,11.18,11.91
01/18/2018,12.01,12.4,11.62,12.22
01/19/2018,12.3,12.33,11.17,11.27
01/22/2018,11.59,11.62,10.84,11.03
01/23/2018,10.77,11.57,10.76,11.1
01/24/2018,11,12.19,10.89,11.47
01/25/2018,11.27,12.01,11.2,11.58
01/26/2018,11.4,11.6,11.08,11.08
01/29/2018,11.71,13.84,11.68,13.84
01/30/2018,13.93,15.42,13.88,14.79
01/31/2018,14.23,14.44,13.41,13.54
02-01-2018,13.05,14.3,12.5,13.47
02-02-2018,13.64,17.86,13.64,17.31
02-05-2018,18.44,38.8,16.8,37.32
02-06-2018,37.32,50.3,22.42,29.98
02-07-2018,31.38,31.64,21.17,27.73
02-08-2018,27.29,36.17,24.41,33.46
02-09-2018,32.18,41.06,27.73,29.06
02-12-2018,27.25,29.7,24.42,25.61
02/13/2018,26.94,27.82,24.47,24.97
02/14/2018,23.48,25.72,18.99,19.26
02/15/2018,18.39,20.66,17.6,19.13
02/16/2018,18.74,20.99,17.44,19.46
02/20/2018,20.53,21.61,19.75,20.6
02/21/2018,20.76,21.04,16.97,20.02
02/22/2018,20.57,20.61,18.07,18.72
02/23/2018,17.96,18.8,16.47,16.49
02/26/2018,16.53,16.94,15.8,15.8
02/27/2018,15.83,18.98,15.29,18.59
02/28/2018,18.08,20.44,15.65,19.85
03-01-2018,19.96,25.3,19.57,22.47
03-02-2018,22.47,26.22,19.36,19.59
03-05-2018,21.55,21.57,17.94,18.73
03-06-2018,18.25,19.64,17.68,18.36
03-07-2018,20.11,20.49,17.52,17.76
03-08-2018,17.56,17.68,14.91,16.54
